index,critical_temp
0,30
1,29
2,42
3,42
4,42
5,13
6,89
7,88
8,88
9,82
10,29
11,30
12,91
13,91
14,91
15,91
16,91
17,91
18,74
19,88
20,89
21,28
22,30
23,91
24,91
25,91
26,29
27,91
28,90
29,90
30,30
31,123
32,123
33,90
34,72
35,91
36,20
37,91
38,20
39,20
40,92
41,92
42,45
43,65
44,91
45,65
46,75
47,92
48,92
49,92
50,92
51,92
52,91
53,91
54,91
55,92
56,92
57,92
58,91
59,91
60,91
61,90
62,91
63,72
64,72
65,41
66,41
67,60
68,71
69,90
70,80
71,91
72,86
73,20
74,29
75,79
76,38
77,38
78,91
79,20
80,20
81,20
82,42
83,29
84,90
85,29
86,91
87,12
88,91
89,91
90,80
91,82
92,71
93,91
94,73
95,73
96,12
97,29
98,93
99,89
100,89
101,20
102,88
103,42
104,42
105,42
106,42
107,42
108,41
109,71
110,71
111,71
112,71
113,89
114,89
115,89
116,89
117,64
118,88
119,88
120,90
121,90
122,91
123,91
124,91
125,91
126,95
127,39
128,123
129,45
130,86
131,86
132,80
133,79
134,107
135,91
136,90
137,10
138,91
139,91
140,91
141,91
142,30
143,30
144,91
145,91
146,91
147,91
148,91
149,56
150,65
151,65
152,100
153,80
154,93
155,91
156,91
157,91
158,91
159,91
160,91
161,86
162,80
163,10
164,10
165,28
166,28
167,91
168,91
169,86
170,30
171,39
172,30
173,23
174,10
175,19
176,38
177,38
178,91
179,29
180,55
181,13
182,29
183,29
184,90
185,90
186,20
187,20
188,91
189,91
190,93
191,29
192,94
193,91
194,110
195,107
196,118
197,111
198,91
199,91
200,10
201,87
202,81
203,84
204,1
205,80
206,87
207,86
208,91
209,91
210,78
211,82
212,82
213,91
214,93
215,74
216,79
217,65
218,86
219,29
220,91
221,29
222,29
223,91
224,91
225,98
226,91
227,91
228,92
229,74
230,29
231,20
232,20
233,20
234,20
235,20
236,79
237,79
238,79
239,79
240,92
241,91
242,91
243,91
244,91
245,78
246,78
247,78
248,49
249,49
250,91
251,91
252,91
253,80
254,92
255,97
256,97
257,91
258,91
259,21
260,107
261,104
262,89
263,89
264,92
265,47
266,82
267,91
268,79
269,90
270,95
271,90
272,118
273,4
274,4
275,4
276,4
277,4
278,89
279,89
280,19
281,19
282,21
283,19
284,92
285,95
286,92
287,21
288,91
289,41
290,41
291,4
292,80
293,29
294,29
295,118
296,91
297,4
298,75
299,16
300,29
301,29
302,92
303,102
304,102
305,92
306,63
307,63
308,63
309,63
310,91
311,47
312,8
313,8
314,92
315,86
316,38
317,92
318,92
319,92
320,86
321,92
322,92
323,92
324,94
325,84
326,91
327,29
328,29
329,29
330,90
331,10
332,29
333,30
334,30
335,30
336,30
337,30
338,30
339,30
340,30
341,30
342,30
343,30
344,91
345,22
346,63
347,82
348,79
349,20
350,20
351,20
352,91
353,91
354,90
355,88
356,88
357,88
358,36
359,87
360,87
361,91
362,73
363,73
364,76
365,8
366,12
367,6
368,38
369,38
370,91
371,30
372,30
373,25
374,10
375,10
376,10
377,10
378,95
379,56
380,91
381,91
382,83
383,40
384,75
385,17
386,30
387,30
388,30
389,29
390,92
391,29
392,29
393,92
394,23
395,86
396,107
397,107
398,28
399,24
400,4
401,67
402,67
403,67
404,29
405,91
406,107
407,29
408,24
409,106
410,27
411,43
412,43
413,43
414,91
415,17
416,94
417,89
418,89
419,89
420,89
421,92
422,92
423,84
424,25
425,25
426,86
427,79
428,31
429,80
430,40
431,92
432,92
433,89
434,17
435,29
436,49
437,27
438,88
439,90
440,90
441,90
442,90
443,92
444,89
445,89
446,92
447,86
448,79
449,79
450,79
451,79
452,43
453,79
454,21
455,21
456,76
457,76
458,4
459,65
460,91
461,107
462,107
463,107
464,107
465,91
466,91
467,91
468,91
469,12
470,43
471,43
472,43
473,21
474,43
475,21
476,43
477,21
478,21
479,43
480,40
481,42
482,14
483,29
484,91
485,91
486,35
487,29
488,29
489,30
490,124
491,74
492,74
493,74
494,27
495,27
496,86
497,19
498,80
499,91
500,47
501,12
502,92
503,29
504,62
505,79
506,71
507,71
508,71
509,47
510,71
511,84
512,95
513,28
514,29
515,29
516,93
517,29
518,43
519,82
520,12
521,63
522,29
523,91
524,91
525,49
526,49
527,66
528,66
529,29
530,30
531,30
532,92
533,35
534,50
535,30
536,30
537,95
538,107
539,21
540,91
541,24
542,86
543,79
544,91
545,86
546,75
547,80
548,35
549,35
550,40
551,70
552,64
553,82
554,64
555,64
556,64
557,31
558,31
559,97
560,97
561,97
562,35
563,79
564,91
565,87
566,87
567,76
568,76
569,45
570,20
571,83
572,53
573,84
574,107
575,107
576,20
577,13
578,13
579,16
580,23
581,92
582,76
583,64
584,67
585,132
586,91
587,8
588,66
589,95
590,95
591,91
592,87
593,87
594,92
595,92
596,92
597,87
598,87
599,19
600,29
601,20
602,30
603,29
604,86
605,86
606,29
607,76
608,29
609,29
610,8
611,91
612,93
613,93
614,43
615,40
616,30
617,31
618,3
619,10
620,29
621,91
622,17
623,17
624,17
625,17
626,17
627,17
628,91
629,30
630,30
631,29
632,30
633,30
634,30
635,30
636,30
637,64
638,88
639,67
640,67
641,108
642,20
643,80
644,91
645,20
646,91
647,20
648,12
649,12
650,34
651,91
652,23
653,23
654,23
655,23
656,89
657,10
658,91
659,91
660,45
661,21
662,62
663,79
664,76
665,106
666,11
667,90
668,87
669,86
670,92
671,92
672,92
673,92
674,92
675,92
676,92
677,92
678,92
679,92
680,92
681,80
682,76
683,76
684,92
685,22
686,62
687,62
688,53
689,53
690,117
691,29
692,100
693,64
694,91
695,91
696,91
697,91
698,91
699,93
700,93
701,107
702,88
703,88
704,12
705,45
706,63
707,63
708,15
709,135
710,122
711,123
712,91
713,91
714,89
715,89
716,95
717,91
718,124
719,124
720,64
721,74
722,50
723,50
724,28
725,96
726,96
727,124
728,124
729,124
730,132
731,132
732,91
733,110
734,110
735,7
736,102
737,44
738,76
739,76
740,76
741,76
742,25
743,66
744,66
745,117
746,91
747,106
748,92
749,56
750,86
751,17
752,29
753,29
754,29
755,63
756,63
757,63
758,63
759,46
760,62
761,110
762,86
763,86
764,20
765,2
766,25
767,82
768,13
769,13
770,80
771,83
772,31
773,22
774,40
775,86
776,89
777,89
778,91
779,91
780,76
781,76
782,25
783,76
784,45
785,52
786,91
787,28
788,28
789,91
790,69
791,69
792,24
793,83
794,53
795,53
796,79
797,86
798,86
799,58
800,86
801,132
802,132
803,74
804,56
805,79
806,79
807,79
808,70
809,110
810,27
811,80
812,118
813,105
814,105
815,35
816,91
817,91
818,91
819,91
820,91
821,91
822,91
823,90
824,90
825,90
826,91
827,90
828,91
829,91
830,91
831,41
832,91
833,91
834,29
835,41
836,41
837,21
838,21
839,26
840,79
841,79
842,76
843,21
844,91
845,91
846,91
847,91
848,89
849,89
850,89
851,81
852,89
853,76
854,76
855,89
856,66
857,66
858,66
859,66
860,82
861,95
862,66
863,65
864,65
865,66
866,65
867,65
868,63
869,90
870,63
871,92
872,1
873,78
874,22
875,91
876,132
877,65
878,91
879,91
880,91
881,91
882,91
883,91
884,91
885,91
886,91
887,91
888,91
889,91
890,91
891,91
892,91
893,91
894,21
895,60
896,91
897,91
898,32
899,32
900,17
901,15
902,15
903,22
904,40
905,63
906,63
907,63
908,63
909,73
910,90
911,91
912,91
913,55
914,92
915,72
916,72
917,72
918,43
919,72
920,95
921,92
922,27
923,22
924,114
925,13
926,86
927,58
928,58
929,58
930,58
931,58
932,58
933,58
934,91
935,91
936,97
937,97
938,97
939,102
940,86
941,80
942,80
943,90
944,41
945,41
946,102
947,87
948,87
949,87
950,87
951,87
952,62
953,62
954,62
955,35
956,35
957,35
958,73
959,13
960,7
961,7
962,91
963,94
964,14
965,67
966,92
967,135
968,45
969,18
970,10
971,10
972,10
973,10
974,15
975,10
976,111
977,67
978,87
979,87
980,64
981,54
982,55
983,96
984,65
985,96
986,43
987,47
988,20
989,41
990,20
991,20
992,48
993,86
994,91
995,91
996,25
997,20
998,89
999,4
1000,4
1001,80
1002,10
1003,30
1004,30
1005,60
1006,91
1007,86
1008,56
1009,56
1010,95
1011,110
1012,18
1013,28
1014,91
1015,91
1016,91
1017,77
1018,22
1019,52
1020,79
1021,102
1022,102
1023,77
1024,68
1025,13
1026,6
1027,6
1028,6
1029,6
1030,65
1031,91
1032,91
1033,86
1034,65
1035,65
1036,18
1037,86
1038,89
1039,89
1040,92
1041,92
1042,1
1043,90
1044,91
1045,22
1046,75
1047,63
1048,128
1049,128
1050,4
1051,36
1052,27
1053,27
1054,28
1055,36
1056,28
1057,28
1058,28
1059,10
1060,66
1061,66
1062,66
1063,54
1064,66
1065,66
1066,17
1067,17
1068,63
1069,70
1070,36
1071,30
1072,78
1073,78
1074,17
1075,1
1076,22
1077,132
1078,55
1079,51
1080,71
1081,40
1082,91
1083,35
1084,33
1085,33
1086,75
1087,82
1088,95
1089,102
1090,91
1091,91
1092,91
1093,111
1094,91
1095,91
1096,29
1097,29
1098,92
1099,92
1100,91
1101,91
1102,29
1103,24
1104,76
1105,76
1106,29
1107,29
1108,28
1109,68
1110,28
1111,28
1112,40
1113,29
1114,86
1115,86
1116,91
1117,92
1118,29
1119,29
1120,29
1121,24
1122,90
1123,22
1124,29
1125,67
1126,67
1127,135
1128,123
1129,123
1130,92
1131,92
1132,92
1133,59
1134,80
1135,65
1136,102
1137,33
1138,91
1139,19
1140,76
1141,84
1142,84
1143,84
1144,113
1145,107
1146,103
1147,85
1148,40
1149,84
1150,92
1151,41
1152,41
1153,81
1154,81
1155,81
1156,79
1157,81
1158,81
1159,59
1160,81
1161,64
1162,64
1163,82
1164,91
1165,64
1166,64
1167,64
1168,64
1169,96
1170,96
1171,86
1172,92
1173,91
1174,60
1175,91
1176,91
1177,91
1178,22
1179,22
1180,23
1181,77
1182,86
1183,89
1184,89
1185,100
1186,47
1187,47
1188,47
1189,66
1190,91
1191,133
1192,133
1193,82
1194,91
1195,92
1196,76
1197,91
1198,91
1199,91
1200,91
1201,76
1202,76
1203,76
1204,76
1205,76
1206,35
1207,19
1208,29
1209,23
1210,21
1211,21
1212,13
1213,13
1214,99
1215,93
1216,93
1217,93
1218,83
1219,10
1220,29
1221,29
1222,29
1223,29
1224,29
1225,76
1226,21
1227,91
1228,91
1229,91
1230,91
1231,90
1232,91
1233,91
1234,91
1235,91
1236,37
1237,29
1238,29
1239,29
1240,29
1241,29
1242,15
1243,15
1244,60
1245,91
1246,91
1247,29
1248,29
1249,13
1250,82
1251,40
1252,96
1253,19
1254,91
1255,91
1256,29
1257,29
1258,89
1259,87
1260,87
1261,87
1262,91
1263,87
1264,45
1265,63
1266,63
1267,45
1268,45
1269,79
1270,79
1271,32
1272,32
1273,10
1274,33
1275,80
1276,80
1277,80
1278,76
1279,80
1280,92
1281,95
1282,92
1283,110
1284,89
1285,84
1286,84
1287,84
1288,15
1289,79
1290,70
1291,25
1292,78
1293,102
1294,80
1295,76
1296,80
1297,1
1298,76
1299,79
1300,25
1301,73
1302,73
1303,42
1304,42
1305,92
1306,92
1307,63
1308,92
1309,92
1310,92
1311,92
1312,91
1313,91
1314,91
1315,91
1316,91
1317,23
1318,106
1319,91
1320,91
1321,32
1322,86
1323,0
1324,29
1325,29
1326,92
1327,29
1328,91
1329,91
1330,91
1331,91
1332,91
1333,91
1334,91
1335,78
1336,79
1337,91
1338,91
1339,91
1340,91
1341,91
1342,13
1343,13
1344,30
1345,78
1346,91
1347,46
1348,90
1349,90
1350,23
1351,90
1352,89
1353,91
1354,91
1355,70
1356,14
1357,107
1358,41
1359,91
1360,45
1361,45
1362,92
1363,91
1364,89
1365,23
1366,21
1367,8
1368,8
1369,20
1370,91
1371,91
1372,38
1373,67
1374,87
1375,87
1376,38
1377,92
1378,95
1379,10
1380,40
1381,43
1382,86
1383,35
1384,46
1385,46
1386,46
1387,91
1388,66
1389,91
1390,91
1391,76
1392,83
1393,83
1394,90
1395,91
1396,20
1397,20
1398,20
1399,78
1400,91
1401,66
1402,63
1403,63
1404,45
1405,80
1406,72
1407,52
1408,72
1409,91
1410,91
1411,30
1412,8
1413,30
1414,17
1415,91
1416,91
1417,92
1418,92
1419,114
1420,92
1421,92
1422,92
1423,92
1424,91
1425,91
1426,91
1427,91
1428,91
1429,92
1430,92
1431,92
1432,89
1433,92
1434,95
1435,29
1436,16
1437,10
1438,66
1439,66
1440,66
1441,66
1442,91
1443,91
1444,91
1445,25
1446,76
1447,1
1448,2
1449,2
1450,30
1451,30
1452,29
1453,29
1454,29
1455,91
1456,40
1457,91
1458,91
1459,91
1460,45
1461,30
1462,30
1463,84
1464,20
1465,20
1466,128
1467,118
1468,95
1469,82
1470,35
1471,67
1472,67
1473,10
1474,35
1475,51
1476,51
1477,51
1478,9
1479,12
1480,10
1481,12
1482,90
1483,90
1484,89
1485,89
1486,89
1487,91
1488,54
1489,54
1490,54
1491,49
1492,49
1493,49
1494,49
1495,8
1496,8
1497,90
1498,24
1499,90
1500,70
1501,70
1502,70
1503,8
1504,24
1505,70
1506,70
1507,64
1508,10
1509,90
1510,92
1511,128
1512,21
1513,7
1514,92
1515,72
1516,72
1517,91
1518,91
1519,41
1520,80
1521,72
1522,72
1523,41
1524,80
1525,80
1526,92
1527,92
1528,92
1529,91
1530,7
1531,29
1532,29
1533,29
1534,29
1535,29
1536,29
1537,90
1538,92
1539,92
1540,25
1541,95
1542,21
1543,21
1544,29
1545,21
1546,92
1547,92
1548,92
1549,92
1550,135
1551,135
1552,135
1553,96
1554,96
1555,96
1556,96
1557,96
1558,96
1559,24
1560,91
1561,25
1562,25
1563,25
1564,25
1565,25
1566,25
1567,25
1568,92
1569,116
1570,89
1571,29
1572,29
1573,21
1574,89
1575,75
1576,75
1577,75
1578,75
1579,75
1580,75
1581,75
1582,75
1583,91
1584,91
1585,29
1586,30
1587,30
1588,92
1589,37
1590,37
1591,30
1592,89
1593,79
1594,91
1595,91
1596,93
1597,74
1598,75
1599,29
1600,29
1601,12
1602,30
1603,30
1604,92
1605,92
1606,92
1607,20
1608,95
1609,95
1610,81
1611,81
1612,81
1613,81
1614,72
1615,29
1616,29
1617,29
1618,76
1619,76
1620,87
1621,91
1622,30
1623,30
1624,92
1625,58
1626,86
1627,90
1628,72
1629,90
1630,21
1631,45
1632,94
1633,82
1634,82
1635,30
1636,30
1637,30
1638,30
1639,30
1640,30
1641,30
1642,8
1643,30
1644,30
1645,30
1646,40
1647,40
1648,40
1649,96
1650,21
1651,6
1652,95
1653,84
1654,84
1655,84
1656,10
1657,89
1658,82
1659,82
1660,86
1661,76
1662,76
1663,90
1664,91
1665,45
1666,45
1667,78
1668,107
1669,107
1670,110
1671,87
1672,82
1673,107
1674,123
1675,120
1676,120
1677,75
1678,91
1679,93
1680,25
1681,63
1682,63
1683,63
1684,43
1685,118
1686,58
1687,76
1688,78
1689,37
1690,37
1691,43
1692,12
1693,107
1694,89
1695,87
1696,32
1697,29
1698,30
1699,91
1700,91
1701,20
1702,20
1703,117
1704,110
1705,135
1706,12
1707,32
1708,32
1709,32
1710,91
1711,12
1712,6
1713,29
1714,12
1715,12
1716,12
1717,29
1718,29
1719,12
1720,96
1721,96
1722,29
1723,20
1724,20
1725,91
1726,20
1727,30
1728,30
1729,21
1730,29
1731,29
1732,75
1733,20
1734,74
1735,5
1736,12
1737,91
1738,29
1739,29
1740,91
1741,20
1742,13
1743,86
1744,21
1745,10
1746,82
1747,28
1748,66
1749,82
1750,91
1751,91
1752,91
1753,29
1754,29
1755,29
1756,9
1757,29
1758,9
1759,95
1760,96
1761,96
1762,96
1763,96
1764,8
1765,89
1766,89
1767,89
1768,90
1769,10
1770,91
1771,91
1772,91
1773,91
1774,45
1775,45
1776,29
1777,6
1778,31
1779,31
1780,31
1781,92
1782,92
1783,92
1784,92
1785,13
1786,29
1787,29
1788,77
1789,11
1790,113
1791,113
1792,60
1793,43
1794,60
1795,60
1796,60
1797,76
1798,76
1799,76
1800,19
1801,19
1802,19
1803,19
1804,9
1805,3
1806,3
1807,29
1808,29
1809,91
1810,91
1811,30
1812,30
1813,30
1814,90
1815,88
1816,4
1817,29
1818,4
1819,4
1820,66
1821,66
1822,73
1823,90
1824,30
1825,30
1826,30
1827,87
1828,80
1829,65
1830,58
1831,63
1832,0
1833,32
1834,8
1835,8
1836,32
1837,32
1838,4
1839,4
1840,4
1841,4
1842,41
1843,1
1844,1
1845,60
1846,0
1847,0
1848,95
1849,29
1850,29
1851,29
1852,29
1853,25
1854,91
1855,91
1856,91
1857,92
1858,40
1859,29
1860,20
1861,88
1862,88
1863,17
1864,107
1865,107
1866,102
1867,29
1868,30
1869,30
1870,30
1871,19
1872,29
1873,29
1874,89
1875,89
1876,23
1877,91
1878,92
1879,92
1880,13
1881,88
1882,73
1883,73
1884,43
1885,91
1886,91
1887,92
1888,92
1889,1
1890,32
1891,29
1892,16
1893,15
1894,29
1895,70
1896,70
1897,29
1898,30
1899,30
1900,30
1901,120
1902,86
1903,86
1904,92
1905,92
1906,91
1907,91
1908,76
1909,23
1910,23
1911,29
1912,4
1913,91
1914,30
1915,32
1916,25
1917,17
1918,17
1919,32
1920,32
1921,32
1922,29
1923,4
1924,4
1925,30
1926,30
1927,30
1928,15
1929,40
1930,40
1931,18
1932,4
1933,4
1934,4
1935,32
1936,32
1937,32
1938,32
1939,10
1940,91
1941,23
1942,23
1943,23
1944,23
1945,29
1946,29
1947,29
1948,29
1949,29
1950,81
1951,40
1952,9
1953,22
1954,3
1955,3
1956,88
1957,9
1958,4
1959,30
1960,30
1961,2
1962,10
1963,10
1964,12
1965,12
1966,10
1967,12
1968,40
1969,111
1970,111
1971,20
1972,20
1973,20
1974,17
1975,17
1976,17
1977,17
1978,17
1979,9
1980,35
1981,91
1982,91
1983,91
1984,9
1985,27
1986,31
1987,34
1988,33
1989,91
1990,6
1991,91
1992,91
1993,19
1994,27
1995,91
1996,3
1997,3
1998,2
1999,2
2000,3
2001,3
2002,8
2003,8
2004,7
2005,1
2006,11
2007,29
2008,29
2009,29
2010,37
2011,1
2012,37
2013,0
2014,0
2015,9
2016,0
2017,3
2018,0
2019,22
2020,22
2021,22
2022,60
2023,0
2024,37
2025,0
2026,80
2027,80
2028,37
2029,27
2030,13
2031,35
2032,2
2033,2
2034,4
2035,25
2036,27
2037,9
2038,34
2039,35
2040,9
2041,5
2042,7
2043,30
2044,43
2045,33
2046,89
2047,3
2048,1
2049,1
2050,1
2051,0
2052,2
2053,8
2054,2
2055,8
2056,12
2057,3
2058,5
2059,5
2060,3
2061,6
2062,6
2063,6
2064,6
2065,30
2066,24
2067,24
2068,24
2069,24
2070,2
2071,5
2072,20
2073,28
2074,37
2075,37
2076,51
2077,51
2078,51
2079,79
2080,79
2081,78
2082,110
2083,18
2084,48
2085,48
2086,65
2087,29
2088,23
2089,0
2090,6
2091,9
2092,1
2093,7
2094,8
2095,9
2096,9
2097,9
2098,9
2099,1
2100,1
2101,0
2102,7
2103,4
2104,91
2105,30
2106,30
2107,8
2108,5
2109,37
2110,37
2111,37
2112,37
2113,37
2114,107
2115,19
2116,73
2117,91
2118,1
2119,5
2120,6
2121,0
2122,0
2123,2
2124,3
2125,3
2126,0
2127,0
2128,6
2129,0
2130,0
2131,0
2132,10
2133,3
2134,37
2135,6
2136,2
2137,2
2138,2
2139,1
2140,35
2141,10
2142,3
2143,3
2144,3
2145,3
2146,3
2147,2
2148,2
2149,2
2150,29
2151,29
2152,6
2153,29
2154,29
2155,29
2156,38
2157,107
2158,73
2159,0
2160,23
2161,9
2162,132
2163,1
2164,0
2165,11
2166,1
2167,0
2168,6
2169,1
2170,1
2171,1
2172,2
2173,2
2174,3
2175,3
2176,2
2177,6
2178,0
2179,0
2180,0
2181,0
2182,1
2183,4
2184,3
2185,6
2186,0
2187,5
2188,4
2189,3
2190,3
2191,3
2192,3
2193,3
2194,3
2195,3
2196,2
2197,2
2198,3
2199,3
2200,2
2201,3
2202,3
2203,2
2204,4
2205,1
2206,13
2207,1
2208,2
2209,3
2210,1
2211,37
2212,37
2213,0
2214,0
2215,17
2216,3
2217,4
2218,1
2219,37
2220,1
2221,1
2222,1
2223,15
2224,1
2225,1
2226,1
2227,3
2228,7
2229,4
2230,7
2231,9
2232,0
2233,1
2234,0
2235,35
2236,35
2237,37
2238,37
2239,37
2240,37
2241,6
2242,3
2243,1
2244,1
2245,2
2246,2
2247,2
2248,2
2249,2
2250,8
2251,0
2252,9
2253,0
2254,4
2255,8
2256,0
2257,1
2258,5
2259,0
2260,0
2261,0
2262,0
2263,1
2264,0
2265,18
2266,18
2267,0
2268,0
2269,1
2270,13
2271,2
2272,2
2273,18
2274,0
2275,0
2276,1
2277,0
2278,3
2279,9
2280,0
2281,1
2282,18
2283,1
2284,1
2285,0
2286,0
2287,0
2288,0
2289,0
2290,0
2291,0
2292,0
2293,1
2294,1
2295,0
2296,0
2297,5
2298,8
2299,8
2300,1
2301,4
2302,4
2303,0
2304,4
2305,6
2306,5
2307,4
2308,9
2309,0
2310,4
2311,0
2312,1
2313,0
2314,0
2315,4
2316,2
2317,4
2318,4
2319,0
2320,0
2321,1
2322,0
2323,0
2324,4
2325,0
2326,3
2327,0
2328,0
2329,13
2330,2
2331,0
2332,13
2333,3
2334,2
2335,0
2336,0
2337,0
2338,0
2339,7
2340,0
2341,0
2342,0
2343,0
2344,1
2345,15
2346,6
2347,4
2348,0
2349,0
2350,0
2351,0
2352,5
2353,5
2354,0
2355,0
2356,0
2357,1
2358,9
2359,0
2360,0
2361,0
2362,4
2363,0
2364,0
2365,0
2366,13
2367,1
2368,13
2369,10
2370,1
2371,6
2372,15
2373,1
2374,0
2375,0
2376,120
2377,3
2378,1
2379,1
2380,0
2381,0
2382,1
2383,0
2384,9
2385,1
2386,1
2387,9
2388,9
2389,0
2390,4
2391,1
2392,0
2393,0
2394,0
2395,0
2396,1
2397,0
2398,2
2399,8
2400,4
2401,0
2402,4
2403,0
2404,0
2405,0
2406,0
2407,0
2408,0
2409,2
2410,5
2411,2
2412,0
2413,5
2414,2
2415,10
2416,2
2417,2
2418,2
2419,8
2420,3
2421,0
2422,0
2423,0
2424,0
2425,0
2426,0
2427,3
2428,14
2429,3
2430,0
2431,0
2432,0
2433,0
2434,0
2435,10
2436,0
2437,0
2438,0
2439,5
2440,0
2441,2
2442,14
2443,0
2444,0
2445,1
2446,0
2447,0
2448,15
2449,15
2450,15
2451,0
2452,0
2453,18
2454,0
2455,0
2456,0
2457,0
2458,0
2459,15
2460,0
2461,18
2462,17
2463,18
2464,18
2465,2
2466,2
2467,0
2468,0
2469,0
2470,0
2471,0
2472,0
2473,0
2474,0
2475,0
2476,0
2477,0
