index,critical_temp
0,30
1,29
2,20
3,20
4,20
5,13
6,89
7,21
8,21
9,35
10,29
11,30
12,91
13,91
14,91
15,91
16,91
17,91
18,41
19,21
20,76
21,81
22,30
23,91
24,92
25,91
26,29
27,91
28,90
29,90
30,1
31,117
32,123
33,90
34,110
35,92
36,20
37,91
38,20
39,20
40,81
41,81
42,45
43,65
44,91
45,65
46,10
47,92
48,92
49,92
50,92
51,92
52,91
53,91
54,91
55,92
56,92
57,92
58,91
59,91
60,92
61,90
62,92
63,13
64,13
65,41
66,41
67,60
68,71
69,90
70,80
71,91
72,86
73,20
74,29
75,91
76,38
77,38
78,92
79,20
80,20
81,20
82,20
83,29
84,90
85,29
86,92
87,12
88,92
89,92
90,80
91,91
92,71
93,91
94,70
95,70
96,12
97,29
98,93
99,89
100,89
101,20
102,88
103,22
104,22
105,22
106,22
107,22
108,64
109,71
110,71
111,71
112,71
113,89
114,89
115,89
116,89
117,30
118,88
119,88
120,91
121,91
122,92
123,91
124,91
125,91
126,92
127,39
128,123
129,45
130,86
131,86
132,80
133,110
134,108
135,91
136,90
137,10
138,91
139,91
140,92
141,92
142,30
143,30
144,92
145,91
146,91
147,91
148,91
149,80
150,65
151,65
152,100
153,80
154,91
155,91
156,91
157,91
158,91
159,91
160,91
161,86
162,80
163,10
164,10
165,30
166,30
167,91
168,91
169,86
170,30
171,29
172,30
173,23
174,10
175,21
176,38
177,38
178,92
179,29
180,50
181,1
182,29
183,29
184,90
185,90
186,20
187,20
188,91
189,91
190,93
191,29
192,94
193,91
194,95
195,107
196,118
197,111
198,92
199,92
200,10
201,78
202,80
203,84
204,1
205,80
206,87
207,86
208,92
209,91
210,78
211,82
212,82
213,92
214,93
215,78
216,79
217,80
218,86
219,29
220,92
221,29
222,29
223,91
224,91
225,98
226,91
227,91
228,92
229,74
230,29
231,20
232,20
233,20
234,20
235,20
236,79
237,79
238,79
239,79
240,92
241,91
242,91
243,91
244,91
245,86
246,86
247,86
248,49
249,49
250,91
251,91
252,80
253,80
254,92
255,97
256,97
257,91
258,91
259,21
260,108
261,102
262,89
263,89
264,92
265,47
266,91
267,91
268,79
269,90
270,92
271,92
272,118
273,4
274,4
275,4
276,4
277,4
278,16
279,16
280,8
281,8
282,21
283,8
284,92
285,92
286,92
287,21
288,91
289,41
290,41
291,4
292,80
293,29
294,29
295,118
296,91
297,10
298,75
299,26
300,29
301,29
302,92
303,102
304,102
305,92
306,63
307,63
308,63
309,63
310,91
311,47
312,8
313,8
314,92
315,86
316,38
317,92
318,92
319,92
320,86
321,92
322,92
323,92
324,94
325,77
326,91
327,29
328,29
329,29
330,90
331,10
332,29
333,30
334,30
335,30
336,30
337,30
338,30
339,30
340,30
341,30
342,30
343,30
344,91
345,30
346,74
347,82
348,79
349,20
350,20
351,20
352,92
353,92
354,90
355,88
356,88
357,88
358,36
359,87
360,87
361,91
362,73
363,73
364,78
365,8
366,12
367,6
368,38
369,38
370,91
371,30
372,30
373,24
374,26
375,26
376,26
377,26
378,95
379,56
380,91
381,91
382,60
383,40
384,82
385,82
386,30
387,30
388,30
389,29
390,92
391,29
392,29
393,92
394,23
395,86
396,108
397,108
398,28
399,24
400,4
401,67
402,67
403,98
404,29
405,92
406,108
407,29
408,23
409,106
410,27
411,43
412,43
413,43
414,92
415,60
416,94
417,89
418,89
419,89
420,89
421,92
422,92
423,84
424,24
425,24
426,86
427,79
428,31
429,80
430,40
431,92
432,92
433,89
434,60
435,29
436,49
437,27
438,88
439,90
440,90
441,90
442,90
443,92
444,89
445,89
446,92
447,86
448,91
449,91
450,91
451,91
452,91
453,91
454,21
455,21
456,76
457,76
458,4
459,65
460,91
461,108
462,108
463,108
464,108
465,91
466,91
467,91
468,91
469,12
470,43
471,43
472,43
473,21
474,43
475,21
476,43
477,21
478,21
479,43
480,40
481,20
482,14
483,29
484,91
485,91
486,30
487,29
488,29
489,30
490,78
491,74
492,74
493,74
494,27
495,27
496,86
497,19
498,80
499,80
500,47
501,12
502,92
503,29
504,25
505,91
506,71
507,71
508,71
509,47
510,71
511,84
512,95
513,82
514,29
515,29
516,91
517,29
518,2
519,35
520,12
521,63
522,29
523,91
524,91
525,49
526,49
527,66
528,66
529,29
530,30
531,30
532,92
533,35
534,50
535,30
536,30
537,95
538,108
539,21
540,91
541,24
542,86
543,110
544,91
545,86
546,110
547,80
548,43
549,43
550,40
551,70
552,64
553,86
554,64
555,64
556,64
557,31
558,31
559,97
560,97
561,97
562,30
563,79
564,92
565,78
566,78
567,76
568,76
569,45
570,20
571,93
572,14
573,14
574,108
575,108
576,20
577,13
578,13
579,32
580,23
581,92
582,76
583,64
584,60
585,132
586,91
587,86
588,66
589,95
590,95
591,92
592,78
593,78
594,92
595,92
596,92
597,78
598,78
599,19
600,29
601,20
602,30
603,29
604,86
605,86
606,29
607,76
608,29
609,29
610,2
611,91
612,93
613,93
614,43
615,40
616,30
617,31
618,10
619,10
620,29
621,92
622,26
623,26
624,26
625,26
626,26
627,26
628,91
629,30
630,30
631,29
632,30
633,30
634,30
635,30
636,30
637,64
638,21
639,60
640,60
641,107
642,20
643,80
644,91
645,20
646,91
647,20
648,12
649,12
650,30
651,91
652,23
653,23
654,23
655,23
656,89
657,30
658,91
659,91
660,45
661,21
662,62
663,79
664,76
665,106
666,11
667,91
668,78
669,86
670,92
671,92
672,92
673,92
674,92
675,92
676,92
677,92
678,92
679,92
680,92
681,80
682,76
683,76
684,92
685,30
686,12
687,53
688,53
689,53
690,67
691,29
692,16
693,64
694,92
695,91
696,91
697,91
698,91
699,93
700,93
701,108
702,88
703,88
704,12
705,52
706,21
707,21
708,4
709,135
710,122
711,123
712,92
713,92
714,86
715,86
716,95
717,124
718,124
719,124
720,64
721,28
722,25
723,25
724,25
725,96
726,96
727,124
728,124
729,124
730,132
731,132
732,91
733,110
734,110
735,7
736,102
737,44
738,76
739,76
740,76
741,76
742,25
743,64
744,64
745,112
746,91
747,29
748,92
749,1
750,86
751,28
752,29
753,29
754,29
755,63
756,63
757,63
758,63
759,30
760,77
761,110
762,86
763,86
764,20
765,2
766,30
767,82
768,27
769,27
770,80
771,60
772,25
773,22
774,40
775,86
776,89
777,89
778,92
779,92
780,76
781,76
782,25
783,76
784,75
785,52
786,91
787,28
788,98
789,91
790,69
791,16
792,40
793,93
794,14
795,14
796,79
797,86
798,86
799,58
800,86
801,132
802,132
803,14
804,56
805,91
806,91
807,91
808,1
809,110
810,27
811,100
812,118
813,95
814,118
815,30
816,92
817,92
818,92
819,92
820,92
821,92
822,92
823,90
824,90
825,90
826,92
827,91
828,91
829,91
830,91
831,6
832,92
833,92
834,29
835,41
836,41
837,21
838,21
839,26
840,79
841,79
842,76
843,21
844,91
845,91
846,91
847,91
848,89
849,89
850,89
851,81
852,89
853,76
854,76
855,89
856,80
857,80
858,80
859,80
860,82
861,95
862,80
863,80
864,80
865,80
866,80
867,80
868,63
869,90
870,63
871,92
872,0
873,78
874,22
875,91
876,132
877,80
878,91
879,91
880,91
881,91
882,91
883,91
884,91
885,92
886,91
887,91
888,91
889,91
890,91
891,91
892,91
893,91
894,21
895,60
896,92
897,92
898,32
899,32
900,82
901,15
902,15
903,22
904,40
905,63
906,63
907,63
908,63
909,60
910,91
911,91
912,91
913,25
914,92
915,72
916,72
917,72
918,43
919,72
920,95
921,92
922,27
923,30
924,114
925,13
926,86
927,58
928,58
929,58
930,58
931,58
932,58
933,58
934,92
935,92
936,97
937,97
938,97
939,102
940,86
941,80
942,80
943,90
944,1
945,41
946,16
947,78
948,78
949,78
950,78
951,78
952,62
953,62
954,62
955,43
956,43
957,43
958,73
959,13
960,1
961,1
962,92
963,91
964,64
965,30
966,92
967,135
968,45
969,8
970,26
971,26
972,26
973,26
974,15
975,26
976,110
977,60
978,87
979,87
980,64
981,64
982,55
983,96
984,65
985,96
986,43
987,47
988,20
989,41
990,20
991,20
992,48
993,86
994,92
995,92
996,25
997,20
998,89
999,4
1000,4
1001,80
1002,10
1003,1
1004,1
1005,60
1006,92
1007,86
1008,56
1009,56
1010,95
1011,110
1012,21
1013,28
1014,91
1015,91
1016,91
1017,77
1018,30
1019,50
1020,110
1021,102
1022,102
1023,30
1024,80
1025,13
1026,6
1027,6
1028,6
1029,6
1030,65
1031,91
1032,91
1033,86
1034,80
1035,80
1036,21
1037,86
1038,89
1039,89
1040,92
1041,92
1042,1
1043,90
1044,91
1045,30
1046,75
1047,63
1048,128
1049,128
1050,4
1051,36
1052,27
1053,27
1054,28
1055,36
1056,28
1057,28
1058,28
1059,80
1060,80
1061,80
1062,80
1063,64
1064,80
1065,80
1066,28
1067,28
1068,28
1069,28
1070,64
1071,30
1072,78
1073,78
1074,60
1075,0
1076,22
1077,132
1078,55
1079,51
1080,71
1081,40
1082,92
1083,30
1084,33
1085,33
1086,75
1087,82
1088,95
1089,102
1090,91
1091,91
1092,91
1093,111
1094,91
1095,91
1096,29
1097,29
1098,92
1099,92
1100,91
1101,91
1102,29
1103,24
1104,76
1105,76
1106,29
1107,29
1108,80
1109,80
1110,28
1111,28
1112,40
1113,29
1114,86
1115,86
1116,92
1117,92
1118,29
1119,29
1120,29
1121,60
1122,90
1123,30
1124,29
1125,67
1126,67
1127,135
1128,123
1129,123
1130,92
1131,92
1132,92
1133,59
1134,80
1135,65
1136,102
1137,33
1138,92
1139,19
1140,76
1141,84
1142,84
1143,84
1144,113
1145,7
1146,73
1147,75
1148,40
1149,84
1150,92
1151,41
1152,41
1153,81
1154,81
1155,81
1156,91
1157,81
1158,81
1159,59
1160,81
1161,64
1162,64
1163,86
1164,92
1165,64
1166,64
1167,64
1168,64
1169,96
1170,96
1171,86
1172,92
1173,91
1174,60
1175,92
1176,92
1177,92
1178,30
1179,30
1180,23
1181,77
1182,86
1183,89
1184,89
1185,120
1186,47
1187,47
1188,47
1189,64
1190,91
1191,133
1192,133
1193,82
1194,92
1195,92
1196,76
1197,91
1198,91
1199,91
1200,91
1201,76
1202,76
1203,76
1204,76
1205,76
1206,30
1207,19
1208,29
1209,23
1210,21
1211,21
1212,1
1213,1
1214,60
1215,93
1216,93
1217,93
1218,93
1219,80
1220,29
1221,29
1222,29
1223,29
1224,29
1225,76
1226,21
1227,91
1228,92
1229,92
1230,91
1231,90
1232,91
1233,91
1234,91
1235,91
1236,37
1237,29
1238,29
1239,29
1240,29
1241,29
1242,15
1243,15
1244,60
1245,91
1246,91
1247,29
1248,29
1249,13
1250,82
1251,40
1252,96
1253,21
1254,92
1255,92
1256,29
1257,29
1258,89
1259,78
1260,78
1261,78
1262,92
1263,87
1264,45
1265,63
1266,63
1267,45
1268,45
1269,79
1270,79
1271,32
1272,32
1273,10
1274,20
1275,80
1276,80
1277,80
1278,76
1279,80
1280,92
1281,95
1282,92
1283,110
1284,89
1285,84
1286,84
1287,84
1288,15
1289,79
1290,70
1291,28
1292,78
1293,102
1294,80
1295,76
1296,80
1297,1
1298,76
1299,79
1300,25
1301,73
1302,73
1303,42
1304,78
1305,92
1306,92
1307,63
1308,92
1309,92
1310,92
1311,92
1312,91
1313,91
1314,91
1315,91
1316,91
1317,23
1318,107
1319,91
1320,91
1321,21
1322,86
1323,0
1324,29
1325,29
1326,92
1327,29
1328,91
1329,91
1330,91
1331,91
1332,91
1333,91
1334,91
1335,78
1336,78
1337,91
1338,91
1339,91
1340,91
1341,91
1342,13
1343,13
1344,30
1345,78
1346,91
1347,46
1348,86
1349,86
1350,64
1351,91
1352,86
1353,92
1354,91
1355,70
1356,64
1357,108
1358,41
1359,91
1360,45
1361,45
1362,92
1363,92
1364,89
1365,23
1366,21
1367,8
1368,8
1369,20
1370,92
1371,92
1372,38
1373,78
1374,78
1375,78
1376,38
1377,92
1378,95
1379,10
1380,40
1381,43
1382,86
1383,35
1384,46
1385,46
1386,46
1387,91
1388,80
1389,91
1390,92
1391,76
1392,60
1393,60
1394,91
1395,91
1396,20
1397,20
1398,20
1399,78
1400,92
1401,80
1402,63
1403,63
1404,45
1405,80
1406,86
1407,86
1408,86
1409,91
1410,91
1411,30
1412,8
1413,30
1414,60
1415,92
1416,91
1417,92
1418,92
1419,114
1420,92
1421,92
1422,92
1423,92
1424,91
1425,92
1426,92
1427,92
1428,92
1429,92
1430,92
1431,92
1432,86
1433,92
1434,95
1435,29
1436,16
1437,80
1438,80
1439,80
1440,80
1441,80
1442,91
1443,91
1444,91
1445,25
1446,76
1447,0
1448,0
1449,0
1450,30
1451,30
1452,29
1453,29
1454,29
1455,92
1456,40
1457,92
1458,92
1459,92
1460,30
1461,30
1462,30
1463,86
1464,70
1465,70
1466,128
1467,123
1468,95
1469,86
1470,37
1471,60
1472,60
1473,26
1474,30
1475,51
1476,51
1477,51
1478,3
1479,12
1480,26
1481,12
1482,92
1483,86
1484,86
1485,86
1486,86
1487,91
1488,86
1489,86
1490,86
1491,49
1492,49
1493,49
1494,49
1495,86
1496,86
1497,90
1498,64
1499,91
1500,70
1501,70
1502,70
1503,86
1504,64
1505,70
1506,70
1507,64
1508,26
1509,90
1510,92
1511,128
1512,21
1513,1
1514,92
1515,86
1516,86
1517,91
1518,91
1519,86
1520,86
1521,86
1522,86
1523,86
1524,86
1525,86
1526,92
1527,92
1528,92
1529,91
1530,7
1531,29
1532,29
1533,29
1534,29
1535,29
1536,29
1537,90
1538,92
1539,92
1540,28
1541,95
1542,21
1543,21
1544,29
1545,21
1546,92
1547,92
1548,92
1549,92
1550,135
1551,135
1552,135
1553,96
1554,96
1555,96
1556,96
1557,96
1558,96
1559,24
1560,92
1561,25
1562,25
1563,25
1564,25
1565,25
1566,25
1567,25
1568,92
1569,116
1570,89
1571,29
1572,29
1573,21
1574,89
1575,75
1576,75
1577,75
1578,75
1579,75
1580,75
1581,75
1582,75
1583,91
1584,91
1585,29
1586,30
1587,30
1588,92
1589,37
1590,37
1591,30
1592,89
1593,91
1594,92
1595,92
1596,93
1597,78
1598,75
1599,29
1600,29
1601,12
1602,30
1603,30
1604,92
1605,92
1606,92
1607,20
1608,95
1609,95
1610,81
1611,81
1612,81
1613,81
1614,70
1615,29
1616,29
1617,29
1618,76
1619,76
1620,78
1621,91
1622,30
1623,30
1624,92
1625,58
1626,86
1627,90
1628,72
1629,92
1630,21
1631,45
1632,91
1633,82
1634,82
1635,30
1636,30
1637,30
1638,30
1639,30
1640,30
1641,30
1642,8
1643,30
1644,30
1645,30
1646,60
1647,60
1648,60
1649,96
1650,21
1651,6
1652,95
1653,84
1654,84
1655,84
1656,80
1657,89
1658,82
1659,86
1660,86
1661,76
1662,76
1663,90
1664,92
1665,45
1666,45
1667,78
1668,108
1669,108
1670,110
1671,78
1672,82
1673,108
1674,120
1675,120
1676,120
1677,107
1678,92
1679,93
1680,25
1681,63
1682,63
1683,63
1684,132
1685,118
1686,58
1687,76
1688,78
1689,37
1690,37
1691,43
1692,12
1693,107
1694,89
1695,87
1696,32
1697,29
1698,30
1699,92
1700,92
1701,20
1702,20
1703,117
1704,110
1705,135
1706,12
1707,32
1708,32
1709,32
1710,92
1711,12
1712,6
1713,29
1714,12
1715,12
1716,12
1717,29
1718,29
1719,12
1720,96
1721,96
1722,29
1723,20
1724,20
1725,92
1726,20
1727,30
1728,30
1729,21
1730,29
1731,29
1732,75
1733,20
1734,74
1735,5
1736,20
1737,92
1738,29
1739,29
1740,91
1741,20
1742,13
1743,86
1744,21
1745,10
1746,82
1747,82
1748,80
1749,82
1750,91
1751,91
1752,91
1753,29
1754,29
1755,29
1756,9
1757,29
1758,9
1759,95
1760,96
1761,96
1762,96
1763,96
1764,8
1765,89
1766,89
1767,89
1768,90
1769,10
1770,91
1771,91
1772,91
1773,91
1774,45
1775,45
1776,29
1777,6
1778,31
1779,31
1780,31
1781,92
1782,92
1783,92
1784,92
1785,13
1786,29
1787,29
1788,77
1789,10
1790,113
1791,113
1792,60
1793,43
1794,60
1795,60
1796,60
1797,76
1798,76
1799,76
1800,21
1801,21
1802,21
1803,21
1804,21
1805,5
1806,5
1807,29
1808,29
1809,91
1810,91
1811,30
1812,30
1813,30
1814,91
1815,91
1816,4
1817,29
1818,4
1819,4
1820,80
1821,80
1822,2
1823,90
1824,30
1825,30
1826,30
1827,87
1828,80
1829,65
1830,58
1831,63
1832,4
1833,32
1834,8
1835,8
1836,32
1837,32
1838,4
1839,4
1840,4
1841,4
1842,41
1843,1
1844,1
1845,60
1846,0
1847,0
1848,95
1849,29
1850,29
1851,29
1852,29
1853,28
1854,92
1855,92
1856,92
1857,92
1858,40
1859,29
1860,20
1861,88
1862,88
1863,28
1864,108
1865,108
1866,102
1867,29
1868,30
1869,30
1870,30
1871,19
1872,29
1873,29
1874,89
1875,89
1876,23
1877,91
1878,92
1879,92
1880,1
1881,88
1882,73
1883,73
1884,43
1885,91
1886,91
1887,92
1888,92
1889,5
1890,30
1891,29
1892,16
1893,32
1894,29
1895,70
1896,70
1897,29
1898,30
1899,30
1900,30
1901,120
1902,86
1903,86
1904,92
1905,92
1906,91
1907,91
1908,76
1909,23
1910,23
1911,29
1912,4
1913,91
1914,16
1915,30
1916,28
1917,28
1918,28
1919,32
1920,32
1921,32
1922,29
1923,4
1924,4
1925,30
1926,30
1927,30
1928,60
1929,40
1930,40
1931,43
1932,4
1933,4
1934,4
1935,32
1936,32
1937,32
1938,21
1939,10
1940,91
1941,23
1942,23
1943,23
1944,23
1945,29
1946,29
1947,29
1948,29
1949,29
1950,81
1951,40
1952,3
1953,45
1954,4
1955,4
1956,88
1957,3
1958,4
1959,30
1960,30
1961,2
1962,10
1963,10
1964,10
1965,10
1966,10
1967,10
1968,40
1969,111
1970,111
1971,20
1972,20
1973,20
1974,60
1975,60
1976,60
1977,60
1978,60
1979,9
1980,60
1981,91
1982,91
1983,91
1984,9
1985,30
1986,30
1987,30
1988,28
1989,91
1990,6
1991,91
1992,91
1993,19
1994,27
1995,91
1996,1
1997,1
1998,1
1999,1
2000,1
2001,1
2002,1
2003,1
2004,1
2005,1
2006,11
2007,29
2008,29
2009,29
2010,37
2011,3
2012,37
2013,1
2014,1
2015,3
2016,0
2017,10
2018,0
2019,30
2020,30
2021,30
2022,60
2023,1
2024,37
2025,0
2026,80
2027,80
2028,6
2029,27
2030,10
2031,35
2032,2
2033,2
2034,4
2035,30
2036,30
2037,9
2038,30
2039,30
2040,9
2041,5
2042,5
2043,82
2044,43
2045,28
2046,89
2047,1
2048,1
2049,1
2050,1
2051,0
2052,1
2053,1
2054,1
2055,1
2056,1
2057,1
2058,1
2059,1
2060,1
2061,6
2062,6
2063,6
2064,6
2065,30
2066,24
2067,24
2068,24
2069,24
2070,2
2071,1
2072,20
2073,20
2074,37
2075,37
2076,51
2077,51
2078,51
2079,91
2080,91
2081,124
2082,110
2083,8
2084,48
2085,48
2086,80
2087,29
2088,23
2089,0
2090,1
2091,9
2092,1
2093,1
2094,9
2095,9
2096,9
2097,9
2098,9
2099,0
2100,0
2101,0
2102,7
2103,4
2104,92
2105,30
2106,30
2107,1
2108,1
2109,37
2110,37
2111,37
2112,37
2113,37
2114,108
2115,19
2116,73
2117,91
2118,0
2119,5
2120,11
2121,0
2122,11
2123,11
2124,1
2125,1
2126,1
2127,1
2128,0
2129,1
2130,1
2131,1
2132,10
2133,1
2134,32
2135,0
2136,1
2137,1
2138,1
2139,1
2140,35
2141,10
2142,1
2143,1
2144,1
2145,1
2146,1
2147,1
2148,1
2149,1
2150,29
2151,29
2152,3
2153,29
2154,29
2155,29
2156,38
2157,73
2158,73
2159,1
2160,23
2161,3
2162,132
2163,1
2164,1
2165,6
2166,1
2167,1
2168,1
2169,2
2170,1
2171,1
2172,2
2173,1
2174,1
2175,1
2176,1
2177,1
2178,1
2179,1
2180,1
2181,1
2182,1
2183,4
2184,3
2185,6
2186,0
2187,5
2188,5
2189,1
2190,1
2191,1
2192,1
2193,1
2194,1
2195,1
2196,1
2197,1
2198,1
2199,1
2200,1
2201,1
2202,1
2203,1
2204,4
2205,1
2206,10
2207,1
2208,1
2209,1
2210,1
2211,37
2212,37
2213,1
2214,1
2215,17
2216,1
2217,1
2218,1
2219,37
2220,1
2221,1
2222,1
2223,15
2224,1
2225,1
2226,1
2227,3
2228,7
2229,4
2230,1
2231,9
2232,1
2233,1
2234,0
2235,35
2236,35
2237,37
2238,37
2239,37
2240,37
2241,1
2242,1
2243,0
2244,0
2245,1
2246,1
2247,1
2248,1
2249,1
2250,8
2251,1
2252,9
2253,1
2254,1
2255,1
2256,1
2257,1
2258,1
2259,1
2260,1
2261,1
2262,1
2263,1
2264,1
2265,18
2266,18
2267,1
2268,1
2269,1
2270,1
2271,1
2272,4
2273,18
2274,1
2275,1
2276,1
2277,1
2278,0
2279,3
2280,1
2281,3
2282,18
2283,3
2284,3
2285,1
2286,1
2287,1
2288,1
2289,1
2290,1
2291,1
2292,1
2293,1
2294,1
2295,1
2296,1
2297,5
2298,8
2299,8
2300,5
2301,6
2302,6
2303,3
2304,6
2305,1
2306,1
2307,1
2308,1
2309,1
2310,1
2311,1
2312,1
2313,1
2314,1
2315,1
2316,1
2317,1
2318,1
2319,1
2320,1
2321,1
2322,1
2323,1
2324,1
2325,1
2326,1
2327,1
2328,0
2329,10
2330,10
2331,1
2332,10
2333,10
2334,10
2335,1
2336,1
2337,1
2338,1
2339,1
2340,1
2341,1
2342,1
2343,1
2344,0
2345,15
2346,0
2347,1
2348,1
2349,0
2350,1
2351,1
2352,1
2353,1
2354,1
2355,1
2356,1
2357,0
2358,0
2359,1
2360,1
2361,1
2362,1
2363,1
2364,1
2365,1
2366,13
2367,1
2368,1
2369,6
2370,1
2371,17
2372,6
2373,1
2374,1
2375,1
2376,120
2377,1
2378,1
2379,1
2380,1
2381,1
2382,1
2383,1
2384,9
2385,1
2386,1
2387,1
2388,1
2389,1
2390,18
2391,1
2392,1
2393,1
2394,1
2395,1
2396,1
2397,1
2398,1
2399,1
2400,1
2401,1
2402,1
2403,1
2404,1
2405,1
2406,1
2407,1
2408,1
2409,1
2410,1
2411,1
2412,1
2413,1
2414,1
2415,1
2416,1
2417,1
2418,1
2419,1
2420,1
2421,1
2422,1
2423,1
2424,1
2425,1
2426,1
2427,1
2428,1
2429,1
2430,1
2431,1
2432,1
2433,1
2434,1
2435,1
2436,1
2437,1
2438,1
2439,1
2440,1
2441,1
2442,1
2443,1
2444,1
2445,1
2446,1
2447,1
2448,15
2449,15
2450,15
2451,1
2452,1
2453,18
2454,1
2455,1
2456,1
2457,1
2458,1
2459,17
2460,1
2461,18
2462,18
2463,18
2464,18
2465,17
2466,0
2467,1
2468,1
2469,1
2470,1
2471,1
2472,1
2473,1
2474,1
2475,1
2476,1
2477,1
