index,critical_temp
0,26
1,34
2,90
3,85
4,85
5,39
6,89
7,73
8,13
9,80
10,35
11,7
12,35
13,75
14,91
15,91
16,91
17,91
18,67
19,84
20,81
21,94
22,16
23,45
24,89
25,90
26,35
27,70
28,92
29,86
30,16
31,110
32,123
33,90
34,75
35,60
36,48
37,32
38,91
39,45
40,84
41,84
42,30
43,75
44,91
45,75
46,75
47,89
48,89
49,39
50,70
51,52
52,87
53,70
54,75
55,63
56,81
57,33
58,89
59,89
60,92
61,90
62,92
63,39
64,39
65,53
66,53
67,60
68,11
69,90
70,80
71,74
72,87
73,81
74,35
75,86
76,32
77,32
78,92
79,88
80,67
81,91
82,85
83,33
84,54
85,33
86,89
87,83
88,51
89,51
90,80
91,82
92,54
93,91
94,87
95,73
96,90
97,30
98,90
99,77
100,30
101,94
102,77
103,31
104,31
105,31
106,31
107,31
108,41
109,64
110,47
111,47
112,11
113,29
114,65
115,81
116,65
117,73
118,85
119,85
120,85
121,92
122,91
123,88
124,47
125,91
126,95
127,39
128,123
129,37
130,86
131,87
132,75
133,105
134,110
135,84
136,74
137,10
138,87
139,70
140,69
141,50
142,31
143,13
144,92
145,70
146,73
147,80
148,90
149,56
150,109
151,101
152,100
153,80
154,93
155,91
156,58
157,70
158,65
159,42
160,45
161,87
162,85
163,10
164,13
165,39
166,30
167,83
168,80
169,86
170,37
171,39
172,44
173,23
174,18
175,28
176,32
177,11
178,93
179,29
180,55
181,21
182,28
183,22
184,91
185,5
186,65
187,45
188,79
189,70
190,89
191,30
192,94
193,91
194,10
195,107
196,118
197,114
198,20
199,58
200,56
201,90
202,83
203,83
204,1
205,88
206,71
207,86
208,91
209,91
210,78
211,79
212,82
213,92
214,49
215,80
216,79
217,78
218,86
219,9
220,93
221,29
222,35
223,51
224,69
225,96
226,91
227,62
228,91
229,40
230,29
231,42
232,18
233,83
234,54
235,45
236,75
237,70
238,79
239,76
240,35
241,88
242,81
243,79
244,39
245,78
246,78
247,78
248,86
249,21
250,55
251,32
252,80
253,80
254,40
255,113
256,113
257,66
258,78
259,21
260,108
261,70
262,89
263,92
264,35
265,28
266,82
267,91
268,70
269,90
270,95
271,90
272,118
273,93
274,54
275,86
276,86
277,4
278,16
279,34
280,19
281,19
282,21
283,19
284,92
285,95
286,92
287,16
288,20
289,41
290,41
291,11
292,80
293,15
294,10
295,118
296,69
297,10
298,83
299,26
300,29
301,35
302,52
303,103
304,103
305,92
306,56
307,36
308,30
309,56
310,60
311,34
312,11
313,15
314,88
315,87
316,21
317,86
318,67
319,15
320,87
321,63
322,80
323,75
324,94
325,28
326,88
327,16
328,33
329,30
330,90
331,22
332,35
333,16
334,16
335,27
336,23
337,22
338,29
339,4
340,8
341,23
342,16
343,17
344,60
345,40
346,63
347,67
348,80
349,20
350,35
351,85
352,50
353,93
354,90
355,80
356,90
357,90
358,38
359,95
360,94
361,91
362,30
363,45
364,76
365,8
366,12
367,30
368,40
369,45
370,91
371,17
372,17
373,87
374,43
375,18
376,18
377,17
378,95
379,69
380,78
381,13
382,82
383,40
384,75
385,23
386,12
387,8
388,26
389,16
390,40
391,27
392,42
393,94
394,23
395,86
396,106
397,110
398,28
399,24
400,72
401,70
402,70
403,43
404,30
405,92
406,105
407,29
408,23
409,106
410,24
411,43
412,47
413,46
414,91
415,19
416,94
417,30
418,31
419,91
420,17
421,82
422,82
423,64
424,84
425,84
426,87
427,70
428,31
429,75
430,40
431,40
432,40
433,48
434,60
435,12
436,75
437,27
438,60
439,91
440,91
441,90
442,90
443,83
444,18
