index,critical_temp
0,30
1,34
2,20
3,20
4,20
5,90
6,92
7,91
8,91
9,90
10,35
11,30
12,60
13,80
14,92
15,92
16,92
17,92
18,86
19,30
20,82
21,90
22,30
23,86
24,80
25,80
26,35
27,80
28,90
29,90
30,30
31,120
32,120
33,90
34,80
35,80
36,80
37,60
38,86
39,60
40,92
41,92
42,18
43,80
44,92
45,80
46,20
47,80
48,80
49,60
50,60
51,60
52,92
53,75
54,80
55,80
56,90
57,90
58,90
59,90
60,92
61,90
62,92
63,90
64,90
65,80
66,80
67,82
68,60
69,90
70,75
71,80
72,90
73,80
74,35
75,80
76,38
77,38
78,92
79,80
80,86
81,92
82,20
83,30
84,90
85,13
86,80
87,75
88,60
89,60
90,80
91,90
92,60
93,90
94,80
95,60
96,70
97,27
98,92
99,82
100,82
101,80
102,80
103,110
104,110
105,110
106,110
107,110
108,80
109,60
110,60
111,60
112,60
113,80
114,90
115,90
116,90
117,64
118,80
119,80
120,90
121,90
122,90
123,92
124,40
125,92
126,90
127,27
128,120
129,35
130,90
131,90
132,90
133,110
134,110
135,90
136,90
137,10
138,92
139,75
140,80
141,60
142,30
143,30
144,92
145,80
146,90
147,90
148,92
149,80
150,80
151,80
152,20
153,90
154,90
155,92
156,75
157,75
158,40
159,80
160,60
161,90
162,80
163,20
164,20
165,90
166,90
167,90
168,80
169,90
170,90
171,80
172,80
173,20
174,20
175,26
176,38
177,38
178,80
179,30
180,80
181,3
182,29
183,29
184,90
185,90
186,80
187,60
188,60
189,80
190,92
191,35
192,90
193,92
194,110
195,90
196,110
197,110
198,60
199,60
200,50
201,80
202,80
203,90
204,90
205,80
206,80
207,90
208,90
209,90
210,78
211,80
212,80
213,92
214,80
215,80
216,80
217,80
218,90
219,35
220,80
221,30
222,35
223,80
224,80
225,90
226,92
227,80
228,90
229,24
230,29
231,60
232,60
233,80
234,60
235,60
236,80
237,80
238,80
239,80
240,40
241,92
242,80
243,80
244,80
245,80
246,80
247,80
248,90
249,60
250,60
251,60
252,80
253,80
254,80
255,92
256,92
257,90
258,75
259,20
260,110
261,80
262,90
263,80
264,40
265,50
266,90
267,90
268,80
269,90
270,90
271,90
272,110
273,92
274,92
275,92
276,92
277,60
278,20
279,20
280,19
281,19
282,20
283,19
284,90
285,90
286,90
287,20
288,60
289,92
290,92
291,4
292,80
293,15
294,10
295,110
296,60
297,10
298,25
299,27
300,30
301,35
302,60
303,107
304,107
305,75
306,80
307,25
308,25
309,80
310,90
311,75
312,13
313,13
