index,critical_temp
0,26
1,17
2,90
3,35
4,80
5,89
6,89
7,89
8,93
9,98
10,37
11,4
12,2
13,57
14,91
15,91
16,91
17,91
18,94
19,84
20,31
21,80
22,16
23,45
24,83
25,85
26,37
27,63
28,92
29,56
30,28
31,123
32,123
33,90
34,45
35,60
36,48
37,86
38,91
39,45
40,92
41,84
42,18
43,75
44,91
45,75
46,75
47,76
48,87
49,39
50,70
51,52
52,87
53,70
54,57
55,87
56,82
57,82
58,78
59,89
60,90
61,90
62,89
63,91
64,76
65,28
66,29
67,49
68,11
69,90
70,80
71,65
72,87
73,70
74,37
75,88
76,70
77,32
78,91
79,88
80,86
81,82
82,85
83,9
84,54
85,16
86,83
87,9
88,51
89,51
90,80
91,82
92,54
93,91
94,34
95,49
96,40
97,29
98,94
99,56
100,54
101,62
102,84
103,111
104,33
105,111
106,40
107,42
108,83
109,64
110,47
111,47
112,11
113,87
114,65
115,63
116,65
117,71
118,41
119,48
120,79
121,92
122,91
123,78
124,72
125,91
126,95
127,39
128,123
129,37
130,85
131,87
132,80
133,105
134,85
135,91
136,96
137,10
138,87
139,70
140,69
141,50
142,32
143,13
144,90
145,63
146,73
147,75
148,91
149,43
150,109
151,101
152,100
153,79
154,93
155,91
156,75
157,64
158,65
159,41
160,13
161,87
162,85
163,10
164,14
165,39
166,30
167,86
168,80
169,85
170,16
171,29
172,20
173,23
174,19
175,35
176,32
177,11
178,63
179,9
180,75
181,22
182,22
183,7
184,90
185,77
186,75
187,45
188,79
189,70
190,93
191,34
192,94
193,91
194,109
195,112
196,118
197,114
198,20
199,40
200,56
201,91
202,81
203,80
204,12
205,91
206,71
207,85
208,91
209,91
210,78
211,79
212,79
213,89
214,72
215,51
216,79
217,56
218,85
219,9
220,63
221,9
222,37
223,50
224,32
225,96
226,91
227,62
228,91
229,77
230,28
231,67
232,18
233,86
234,71
235,45
236,75
237,70
238,79
239,79
240,48
241,88
242,83
243,79
244,77
245,78
246,97
247,97
248,76
249,21
250,2
251,86
252,80
253,80
254,86
255,114
256,114
257,66
258,75
259,20
260,108
261,108
262,89
263,92
264,35
265,28
266,82
267,91
268,56
269,90
270,95
271,90
272,118
273,93
274,54
275,60
276,60
277,4
278,53
279,24
280,19
281,19
282,20
283,19
284,92
285,95
286,92
287,24
288,20
289,41
290,41
291,80
292,80
293,9
294,26
295,118
296,32
297,7
298,83
299,26
300,9
301,37
302,52
303,109
304,103
305,70
306,56
307,36
308,30
309,56
310,60
311,34
312,4
313,15
314,88
315,87
316,21
317,86
318,67
319,15
320,87
321,53
322,79
323,75
324,94
325,76
326,78
327,16
328,18
329,29
330,90
331,22
332,37
333,23
334,23
335,27
336,23
337,22
338,29
339,18
340,24
341,23
342,16
343,17
344,60
345,43
346,13
347,52
348,80
349,43
350,43
351,85
352,50
353,58
354,90
355,91
356,88
357,70
358,27
359,94
360,94
361,91
362,30
363,45
364,76
365,8
366,12
367,20
368,42
369,24
370,91
371,17
372,17
373,85
374,17
375,31
376,28
377,28
378,95
379,33
380,68
381,13
382,82
383,40
384,77
385,63
386,8
387,8
388,13
389,15
390,86
391,27
392,7
393,48
394,23
395,85
396,106
397,110
398,28
399,24
400,88
401,70
402,70
403,75
404,3
405,58
406,105
407,29
408,29
409,106
410,24
411,36
412,51
413,47
414,91
415,56
416,94
417,30
418,31
419,84
420,12
421,89
422,81
423,64
424,53
425,24
426,87
427,76
428,31
429,75
430,40
431,86
432,86
433,48
434,37
435,29
436,33
437,26
438,80
439,85
440,89
441,89
442,90
443,83
444,16
445,18
446,10
447,85
448,85
449,87
450,55
451,50
452,43
453,39
454,23
455,25
456,86
457,75
458,11
459,39
460,51
461,93
462,93
463,79
464,57
465,57
466,11
467,76
468,85
469,27
470,37
471,53
472,43
473,45
474,45
475,24
476,43
477,13
478,51
479,37
480,38
481,10
482,83
483,27
484,67
485,40
486,31
487,32
488,18
489,24
490,124
491,85
492,72
493,93
494,26
495,26
496,85
497,34
498,80
499,84
500,47
501,32
502,59
503,9
504,88
505,91
506,30
507,30
508,78
509,47
510,26
511,91
512,95
513,39
514,9
515,9
516,93
517,29
518,6
519,29
520,21
521,57
522,29
523,91
524,54
525,40
526,2
527,66
528,66
529,29
530,11
531,11
532,28
533,40
534,40
535,17
536,17
537,110
538,107
539,20
540,91
541,31
542,85
543,112
544,91
545,87
546,71
547,85
548,15
549,35
550,25
551,76
552,69
553,67
554,86
555,67
556,82
557,67
558,31
559,103
560,102
561,97
562,25
563,79
564,72
565,79
566,82
567,65
568,50
569,42
570,23
571,80
572,79
573,80
574,83
575,95
576,88
577,94
578,80
579,8
580,17
581,84
582,21
583,110
584,20
585,110
586,90
587,86
588,66
589,92
590,92
591,23
592,66
593,20
594,74
595,74
596,54
597,80
598,80
599,16
600,26
601,27
602,16
603,16
604,70
605,75
606,21
607,58
608,15
609,3
610,14
611,89
612,93
613,93
614,12
615,38
616,15
617,31
618,45
619,19
620,16
621,60
622,30
623,26
624,22
625,22
626,22
627,32
628,28
629,14
630,21
631,29
632,5
633,5
634,11
635,29
636,23
637,122
638,30
639,60
640,60
641,110
642,25
643,80
644,62
645,53
646,80
647,56
648,5
649,5
650,34
651,64
652,23
653,8
654,17
655,23
656,41
657,20
658,91
659,30
660,37
661,20
662,60
663,79
664,53
665,106
666,11
667,91
668,38
669,86
670,59
671,57
672,86
673,55
674,58
675,16
676,93
677,81
678,44
679,79
680,54
681,80
682,24
683,13
684,92
685,28
686,28
687,51
688,40
689,20
690,110
691,37
692,100
693,110
694,90
695,92
696,92
697,91
698,91
699,93
700,66
701,116
702,60
703,21
704,22
