index,critical_temp
0,10
1,17
2,90
3,85
4,85
5,89
6,89
7,13
8,91
9,40
10,37
11,5
12,2
13,57
14,91
15,91
16,91
17,91
18,48
19,84
20,91
21,93
22,16
23,45
24,83
25,85
26,37
27,63
28,92
29,77
30,16
31,111
32,123
33,90
34,109
35,56
36,48
37,32
38,75
39,41
40,84
41,84
42,18
43,75
44,91
45,75
46,75
47,87
48,87
49,36
50,70
51,52
52,87
53,70
54,57
55,63
56,80
57,80
58,85
59,85
60,90
61,90
62,89
63,89
64,76
65,79
66,32
67,49
68,11
69,90
70,80
71,66
72,87
73,78
74,37
75,88
76,90
77,32
78,92
79,88
80,8
81,92
82,85
83,10
84,54
85,16
86,83
87,77
88,51
89,33
90,80
91,82
92,71
93,91
94,81
95,73
96,5
97,29
98,88
99,56
100,28
101,55
102,89
103,33
104,33
105,33
106,62
107,18
108,75
109,89
110,47
111,47
112,11
113,46
114,65
115,63
116,65
117,60
118,76
119,76
120,92
121,90
122,91
123,62
124,47
125,91
126,95
127,11
128,123
129,37
130,85
131,87
132,90
133,105
134,104
135,91
136,96
137,10
138,87
139,70
140,69
141,50
142,32
143,13
144,90
145,63
146,73
147,75
148,92
149,77
150,109
151,109
152,100
153,90
154,93
155,91
156,45
157,70
158,65
159,41
160,53
161,87
162,85
163,10
164,14
165,39
166,27
167,86
168,76
169,85
170,37
171,29
172,73
173,23
174,19
175,26
176,32
177,11
178,63
179,23
180,65
181,15
182,22
183,2
184,90
185,59
186,67
187,55
188,79
189,70
190,64
191,34
192,94
193,91
194,60
195,107
196,118
197,114
198,20
199,40
200,50
201,91
202,81
203,90
204,34
205,80
206,63
207,85
208,91
209,91
210,78
211,79
212,79
213,89
214,86
215,51
216,38
217,76
218,85
219,9
220,63
221,23
222,37
223,50
224,26
225,96
226,91
227,71
228,87
229,77
230,28
231,58
232,18
233,84
234,77
235,55
236,75
237,62
238,79
239,70
240,48
241,87
242,83
243,77
244,36
245,78
246,97
247,97
248,71
249,21
250,69
251,32
252,83
253,80
254,86
255,114
256,114
257,66
258,75
259,20
260,108
261,90
262,89
263,92
264,38
265,28
266,82
267,91
268,62
269,90
270,95
271,90
272,118
273,54
274,54
275,54
276,54
277,4
278,16
279,34
280,19
281,19
282,20
283,19
284,92
285,95
286,92
287,16
288,20
289,41
290,41
291,88
292,80
293,15
294,16
295,118
296,26
297,7
298,83
299,26
300,23
301,37
302,52
303,110
304,103
305,80
306,56
307,25
308,74
309,56
310,60
311,34
312,4
313,15
314,88
315,87
316,21
317,86
318,67
319,15
320,87
321,53
322,79
323,75
324,94
325,70
326,78
327,19
328,18
329,29
330,90
331,21
332,37
333,11
334,30
335,27
336,23
337,22
338,23
339,4
340,24
341,16
342,16
343,17
344,60
345,40
346,36
347,49
348,80
349,43
350,87
351,85
352,50
353,58
354,90
355,81
356,89
357,89
358,65
359,94
360,94
361,91
362,30
363,45
364,76
365,8
366,12
367,21
368,42
369,24
370,91
371,17
372,17
373,87
374,21
375,18
376,28
377,28
378,95
379,33
380,46
381,13
382,83
383,40
384,73
385,86
386,8
387,8
388,13
389,15
390,86
391,26
392,7
393,91
394,23
395,85
396,106
397,110
398,28
399,24
400,7
401,70
402,70
403,41
404,3
405,58
406,105
407,29
408,29
409,106
410,24
411,31
412,68
413,46
414,91
415,51
416,94
417,30
418,31
419,89
420,12
421,82
422,82
423,64
424,89
425,28
426,87
427,31
428,31
429,75
430,40
431,86
432,86
433,48
434,60
435,29
436,54
437,26
438,55
439,55
440,17
441,90
442,90
443,83
444,18
445,18
446,10
447,85
448,85
449,73
450,33
451,43
452,43
453,39
454,23
455,25
456,76
457,94
458,14
459,50
460,95
461,85
462,83
463,22
464,99
465,57
466,49
467,54
468,58
469,27
470,44
471,55
472,37
473,45
474,77
475,24
476,43
477,13
478,45
479,37
480,38
481,36
482,80
483,26
484,67
485,41
486,25
487,13
488,18
489,5
490,118
491,85
492,80
493,70
494,26
495,26
496,85
497,36
498,80
499,84
500,47
501,32
502,59
503,9
504,56
505,88
506,69
507,56
508,39
509,47
510,55
511,91
512,86
513,81
514,9
515,23
516,93
517,29
518,20
519,20
520,21
521,57
522,29
523,91
524,54
525,40
526,2
527,85
528,66
529,29
530,11
531,11
532,28
533,40
534,50
535,17
536,17
537,107
538,107
539,20
540,91
541,31
542,85
543,112
544,91
545,87
546,73
547,80
548,35
549,35
550,25
551,76
552,18
553,66
554,86
555,69
556,86
557,79
558,66
559,103
560,93
561,95
562,42
563,79
564,75
565,79
566,82
567,65
568,76
569,42
570,27
571,80
572,70
573,84
574,95
575,109
576,91
577,76
578,53
579,29
580,17
581,84
582,21
583,125
584,20
585,117
586,90
587,86
588,66
589,92
590,92
