index,critical_temp
0,26
1,34
2,93
3,93
4,93
5,92
6,92
7,13
8,91
9,20
10,36
11,16
12,73
13,91
14,92
15,92
16,92
17,92
18,32
19,84
20,92
21,93
22,16
23,90
24,83
25,54
26,36
27,91
28,92
29,92
30,93
31,133
32,123
33,90
34,110
35,63
36,73
37,73
38,90
39,20
40,80
41,80
42,27
43,106
44,92
45,106
46,4
47,63
48,63
49,73
50,88
51,31
52,91
53,20
54,91
55,88
56,88
57,88
58,85
59,90
60,90
61,90
62,90
63,92
64,90
65,89
66,63
67,63
68,20
69,90
70,80
71,84
72,87
73,90
74,36
75,88
76,20
77,93
78,92
79,91
80,72
81,84
82,88
83,4
84,90
85,18
86,83
87,60
88,48
89,33
90,80
91,77
92,73
93,93
94,20
95,73
96,17
97,29
98,89
99,63
100,63
101,84
102,87
103,33
104,33
105,106
106,18
107,33
108,90
109,88
110,20
111,20
112,20
113,84
114,84
115,84
116,84
117,87
118,84
119,84
120,90
121,90
122,92
123,84
124,92
125,92
126,94
127,31
128,123
129,37
130,84
131,87
132,80
133,107
134,30
135,91
136,90
137,10
138,91
139,20
140,75
141,59
142,32
143,2
144,90
145,91
146,86
147,86
148,92
149,15
150,109
151,109
152,105
153,80
154,93
155,92
156,20
157,20
158,20
159,20
160,20
161,87
162,80
163,20
164,20
165,39
166,39
167,89
168,84
169,84
170,16
171,20
172,20
173,23
174,19
175,24
176,93
177,93
178,63
179,32
180,65
181,11
182,29
183,29
184,90
185,90
186,20
187,20
188,93
189,84
190,84
191,32
192,94
193,92
194,83
195,107
196,112
197,112
198,54
199,59
200,50
201,91
202,90
203,90
204,12
205,90
206,87
207,84
208,92
209,93
210,75
211,80
212,80
213,90
214,82
215,82
216,17
217,75
218,84
219,29
220,63
221,32
222,36
223,73
224,73
225,20
226,92
227,91
228,31
229,93
230,29
231,20
232,20
233,90
234,93
235,92
236,73
237,79
238,79
239,79
240,63
241,89
242,80
243,80
244,77
245,13
246,97
247,97
248,90
249,90
250,73
251,73
252,91
253,80
254,86
255,58
256,58
257,20
258,91
259,21
260,107
261,87
262,90
263,90
264,63
265,20
266,77
267,91
268,79
269,90
270,94
271,92
272,112
273,94
274,94
275,94
276,94
277,4
278,17
279,17
280,21
281,21
282,21
283,21
284,90
285,94
286,92
287,18
288,20
289,41
290,41
291,28
292,80
293,15
294,21
295,112
296,73
297,7
298,41
299,9
300,32
301,36
302,31
303,67
304,67
305,89
306,47
307,47
308,20
309,47
310,91
311,20
312,18
313,18
314,88
315,87
316,93
317,67
318,67
319,15
320,87
321,63
322,63
323,84
324,94
325,87
326,89
327,18
328,18
329,29
330,90
331,19
332,36
333,8
334,22
335,32
336,22
337,22
338,36
339,2
340,8
341,16
342,16
343,8
344,91
345,20
346,93
347,5
348,80
349,73
350,73
351,91
352,59
353,63
354,90
355,90
356,90
357,90
358,74
359,87
360,87
361,92
362,45
363,45
364,76
365,8
366,12
367,21
368,32
369,38
370,92
371,18
372,18
373,87
374,12
375,12
376,28
377,28
378,94
379,33
380,84
381,20
382,19
383,20
384,77
385,77
386,29
387,8
388,22
389,29
390,86
391,29
392,30
393,13
394,23
395,84
396,107
397,109
398,28
399,84
400,72
401,68
402,68
403,20
404,29
405,58
406,109
407,29
408,29
409,106
410,27
411,31
412,31
413,31
414,92
415,20
416,94
417,84
418,84
419,87
420,12
421,88
422,88
423,88
424,87
425,15
426,87
427,4
428,20
429,80
430,92
431,86
432,86
433,89
434,60
435,29
436,4
437,27
438,80
439,80
440,80
441,80
442,85
443,80
444,64
